Subject,Semantic_Similarity_mean,Semantic_Similarity_std,Frequency_Value_mean,Frequency_Value_std,#_of_Items,Switch_Method,Number_of_Switches,Cluster_Size_mean,Cluster_Size_std
1101,,,,,,delta_rise=0.25_fall=0.25,7,1.5,0.7071067811865476
1101,,,,,,delta_rise=0.25_fall=0.5,7,1.5,0.7071067811865476
1101,,,,,,delta_rise=0.25_fall=0.75,7,1.5,0.7071067811865476
1101,,,,,,delta_rise=0.25_fall=1.0,7,1.5,0.7071067811865476
1101,,,,,,delta_rise=0.5_fall=0.0,7,1.5,0.7071067811865476
1101,,,,,,delta_rise=0.5_fall=0.25,7,1.5,0.7071067811865476
1101,,,,,,delta_rise=0.5_fall=0.5,7,1.5,0.7071067811865476
1101,,,,,,delta_rise=0.5_fall=0.75,7,1.5,0.7071067811865476
1101,,,,,,delta_rise=0.5_fall=1.0,7,1.5,0.7071067811865476
1101,,,,,,delta_rise=0.75_fall=0.0,7,1.5,0.7071067811865476
1101,,,,,,delta_rise=0.75_fall=0.25,7,1.5,0.7071067811865476
1101,,,,,,delta_rise=0.75_fall=0.5,7,1.5,0.7071067811865476
1101,,,,,,delta_rise=0.75_fall=0.75,7,1.5,0.7071067811865476
1101,,,,,,delta_rise=0.75_fall=1.0,7,1.5,0.7071067811865476
1101,,,,,,delta_rise=1.0_fall=0.0,7,1.5,0.7071067811865476
1101,,,,,,delta_rise=1.0_fall=0.25,7,1.5,0.7071067811865476
1101,,,,,,delta_rise=1.0_fall=0.5,7,1.5,0.7071067811865476
1101,,,,,,delta_rise=1.0_fall=0.75,7,1.5,0.7071067811865476
1101,,,,,,delta_rise=1.0_fall=1.0,7,1.5,0.7071067811865476
1101,,,,,,simdrop,3,3,0.7071067811865476
1102,0.2530823198585591,0.11364784643394302,6.094528702,0.478169042,7,delta_rise=0.0_fall=0.0,4,1.75,0.829156198
1102,,,,,,delta_rise=0.0_fall=0.25,3,2.3333333333333335,1.247219128924647
1102,,,,,,delta_rise=0.0_fall=0.5,3,2.3333333333333335,1.247219128924647
1102,,,,,,delta_rise=0.0_fall=0.75,3,2.3333333333333335,1.247219128924647
1102,,,,,,delta_rise=0.0_fall=1.0,3,2.3333333333333335,1.247219128924647
1102,,,,,,delta_rise=0.25_fall=0.0,4,1.75,0.829156198
1102,,,,,,delta_rise=0.25_fall=0.25,3,2.3333333333333335,1.247219128924647
1102,,,,,,delta_rise=0.25_fall=0.5,3,2.3333333333333335,1.247219128924647
1102,,,,,,delta_rise=0.25_fall=0.75,3,2.3333333333333335,1.247219128924647
1102,,,,,,delta_rise=0.25_fall=1.0,3,2.3333333333333335,1.247219128924647
1102,,,,,,delta_rise=0.5_fall=0.0,4,1.75,0.829156198
1102,,,,,,delta_rise=0.5_fall=0.25,3,2.3333333333333335,1.247219128924647
1102,,,,,,delta_rise=0.5_fall=0.5,3,2.3333333333333335,1.247219128924647
1102,,,,,,delta_rise=0.5_fall=0.75,3,2.3333333333333335,1.247219128924647
1102,,,,,,delta_rise=0.5_fall=1.0,3,2.3333333333333335,1.247219128924647
1102,,,,,,delta_rise=0.75_fall=0.0,4,1.75,0.829156198
1102,,,,,,delta_rise=0.75_fall=0.25,3,2.3333333333333335,1.247219128924647
1102,,,,,,delta_rise=0.75_fall=0.5,3,2.3333333333333335,1.247219128924647
1102,,,,,,delta_rise=0.75_fall=0.75,3,2.3333333333333335,1.247219128924647
1102,,,,,,delta_rise=0.75_fall=1.0,3,2.3333333333333335,1.247219128924647
1102,,,,,,delta_rise=1.0_fall=0.0,4,1.75,0.829156198
1102,,,,,,delta_rise=1.0_fall=0.25,3,2.3333333333333335,1.247219128924647
1102,,,,,,delta_rise=1.0_fall=0.5,3,2.3333333333333335,1.247219128924647
1102,,,,,,delta_rise=1.0_fall=0.75,3,2.3333333333333335,1.247219128924647
1102,,,,,,delta_rise=1.0_fall=1.0,3,2.3333333333333335,1.247219128924647
1102,,,,,,simdrop,1,3.5,0.5
1103,0.2606813612286795,0.19773689488430277,6.552970063833836,1.317543381113326,18,delta_rise=0.0_fall=0.0,7,2.25,0.9682458365518543
1103,,,,,,delta_rise=0.0_fall=0.25,5,3,1.1547005383792515
1103,,,,,,delta_rise=0.0_fall=0.5,4,3.6,2.332380757938121
1103,,,,,,delta_rise=0.0_fall=0.75,4,3.6,2.332380757938121
1103,,,,,,delta_rise=0.0_fall=1.0,4,3.6,2.332380757938121
1103,,,,,,delta_rise=0.25_fall=0.0,9,1.8,0.8717797887081348
1103,,,,,,delta_rise=0.25_fall=0.25,7,2.25,1.0897247358851685
1103,,,,,,delta_rise=0.25_fall=0.5,5,3,2
1103,,,,,,delta_rise=0.25_fall=0.75,5,3,2
1103,,,,,,delta_rise=0.25_fall=1.0,5,3,2
1103,,,,,,delta_rise=0.5_fall=0.0,10,1.6363636363636365,0.8813963377120597
1103,,,,,,delta_rise=0.5_fall=0.25,10,1.6363636363636365,0.8813963377120597
1103,,,,,,delta_rise=0.5_fall=0.5,10,1.6363636363636365,0.8813963377120597
1103,,,,,,delta_rise=0.5_fall=0.75,10,1.6363636363636365,0.8813963377120597
1103,,,,,,delta_rise=0.5_fall=1.0,10,1.6363636363636365,0.8813963377120597
1103,,,,,,delta_rise=0.75_fall=0.0,14,1.2857142857142858,0.5890150893739515
1103,,,,,,delta_rise=0.75_fall=0.25,14,1.2857142857142858,0.5890150893739515
1103,,,,,,delta_rise=0.75_fall=0.5,14,1.2857142857142858,0.5890150893739515
1103,,,,,,delta_rise=0.75_fall=0.75,14,1.2857142857142858,0.5890150893739515
1103,,,,,,delta_rise=0.75_fall=1.0,14,1.2857142857142858,0.5890150893739515
1103,,,,,,delta_rise=1.0_fall=0.0,14,1.2857142857142858,0.5890150893739515
1103,,,,,,delta_rise=1.0_fall=0.25,14,1.2857142857142858,0.5890150893739515
1103,,,,,,delta_rise=1.0_fall=0.5,14,1.2857142857142858,0.5890150893739515
1103,,,,,,delta_rise=1.0_fall=0.75,14,1.2857142857142858,0.5890150893739515
1103,,,,,,delta_rise=1.0_fall=1.0,14,1.2857142857142858,0.5890150893739515
1103,,,,,,simdrop,4,3.6,1.624807680927192
1104,0.2695018123472626,0.10692730111988219,6.400172551875677,0.8270206635046186,16,delta_rise=0.0_fall=0.0,8,1.7777777777777777,1.314684396244359
1104,,,,,,delta_rise=0.0_fall=0.25,8,1.7777777777777777,1.314684396244359
1104,,,,,,delta_rise=0.0_fall=0.5,8,1.7777777777777777,1.314684396244359
1104,,,,,,delta_rise=0.0_fall=0.75,7,2,1.4142135623730951
1104,,,,,,delta_rise=0.0_fall=1.0,2,5.333333333333333,3.0912061651652345
1104,,,,,,delta_rise=0.25_fall=0.0,8,1.7777777777777777,1.314684396244359
1104,,,,,,delta_rise=0.25_fall=0.25,8,1.7777777777777777,1.314684396244359
1104,,,,,,delta_rise=0.25_fall=0.5,8,1.7777777777777777,1.314684396244359
1104,,,,,,delta_rise=0.25_fall=0.75,7,2,1.4142135623730951
1104,,,,,,delta_rise=0.25_fall=1.0,2,5.333333333333333,3.0912061651652345
1104,,,,,,delta_rise=0.5_fall=0.0,9,1.6,1.0198039027185568
1104,,,,,,delta_rise=0.5_fall=0.25,9,1.6,1.0198039027185568
1104,,,,,,delta_rise=0.5_fall=0.5,9,1.6,1.0198039027185568
1104,,,,,,delta_rise=0.5_fall=0.75,8,1.7777777777777777,1.1331154474650633
1104,,,,,,delta_rise=0.5_fall=1.0,2,5.333333333333333,3.0912061651652345
1104,,,,,,delta_rise=0.75_fall=0.0,9,1.6,1.0198039027185568
1104,,,,,,delta_rise=0.75_fall=0.25,9,1.6,1.0198039027185568
1104,,,,,,delta_rise=0.75_fall=0.5,9,1.6,1.0198039027185568
1104,,,,,,delta_rise=0.75_fall=0.75,8,1.7777777777777777,1.1331154474650633
1104,,,,,,delta_rise=0.75_fall=1.0,2,5.333333333333333,3.0912061651652345
1104,,,,,,delta_rise=1.0_fall=0.0,10,1.4545454545454546,0.9875254992000196
1104,,,,,,delta_rise=1.0_fall=0.25,10,1.4545454545454546,0.9875254992000196
1104,,,,,,delta_rise=1.0_fall=0.5,10,1.4545454545454546,0.9875254992000196
1104,,,,,,delta_rise=1.0_fall=0.75,10,1.4545454545454546,0.9875254992000196
1104,,,,,,delta_rise=1.0_fall=1.0,8,1.7777777777777777,2.199887763691481
1104,,,,,,simdrop,3,4,2.1213203435596424
1105,0.19826821081911944,0.095249697,6.845863026,0.9743752391959615,9,delta_rise=0.0_fall=0.0,5,1.5,0.7637626158259734
1105,,,,,,delta_rise=0.0_fall=0.25,5,1.5,0.7637626158259734
