Subject,Model,Beta_Frequency,Beta_Semantic,Beta_Phonological,Negative_Log_Likelihood_Optimized
8,forage_dynamic_simdrop,-0.3884398361584032,0.0013236784088263918,,12.534191614066618
8,forage_random_baseline,0.0,0.0,,15.423993014095338
9,forage_dynamic_simdrop,7.68478146240593,2.0425529798733804,,102.28828537729983
9,forage_random_baseline,0.0,0.0,,115.67994760571507
10,forage_dynamic_simdrop,7.654898273944551,0.10962298323693907,,65.07642431112271
10,forage_random_baseline,0.0,0.0,,69.40796856342904
1101,forage_dynamic_simdrop,0.17556375452235504,4.008512713372862,,80.6558249357772
1101,forage_random_baseline,0.0,0.0,,92.54395808457205
1102,forage_dynamic_simdrop,-0.2065803402091965,1.6472513569701661,,51.50987630700104
1102,forage_random_baseline,0.0,0.0,,53.98397554933369
1103,forage_dynamic_simdrop,5.099562426063055,2.3571333663923184,,129.66929167217995
1103,forage_random_baseline,0.0,0.0,,138.81593712685807
1104,forage_dynamic_simdrop,4.6006712870094075,2.340796457116955,,116.97710526032817
1104,forage_random_baseline,0.0,0.0,,123.39194411276274
1105,forage_dynamic_simdrop,7.656164384681294,1.0304882936165485,,64.00811519412647
1105,forage_random_baseline,0.0,0.0,,69.40796856342904
1106,forage_dynamic_simdrop,8.330205685565298,2.1940085708557944,,81.04328751691666
1106,forage_random_baseline,0.0,0.0,,92.54395808457205
1107,forage_dynamic_simdrop,2.5711356590169054,2.6290952963929217,,102.82040949551224
1107,forage_random_baseline,0.0,0.0,,107.9679510986674
1108,forage_dynamic_simdrop,12.646821672675511,3.3179402582846365,,59.9501568088516
1108,forage_random_baseline,0.0,0.0,,84.83196157752438
1109,forage_dynamic_simdrop,4.118472674278496,3.0490561382179853,,50.41568858778331
1109,forage_random_baseline,0.0,0.0,,53.98397554933369
1110,forage_dynamic_simdrop,9.739748126582693,1.9266414720895837,,61.349645074364744
1110,forage_random_baseline,0.0,0.0,,69.40796856342904
1111,forage_dynamic_simdrop,5.725072618980693,1.2613092706958573,,117.60111906980097
1111,forage_random_baseline,0.0,0.0,,123.39194411276274
1112,forage_dynamic_simdrop,6.250683517700214,1.7372019217549934,,71.76159916689434
1112,forage_random_baseline,0.0,0.0,,77.11996507047671
1113,forage_dynamic_simdrop,0.530567775292587,0.8251523380116865,,69.00249359943554
1113,forage_random_baseline,0.0,0.0,,69.40796856342904
1114,forage_dynamic_simdrop,-0.19642680531026746,2.8006633797553535,,99.42400091113034
1114,forage_random_baseline,0.0,0.0,,107.9679510986674
1123,forage_dynamic_simdrop,1.7472485120543448,-0.20956968813424096,,45.99119460782039
1123,forage_random_baseline,0.0,0.0,,46.27197904228602
1126,forage_dynamic_simdrop,11.243708707766988,2.1672227031125937,,64.28966317722475
1126,forage_random_baseline,0.0,0.0,,84.83196157752438
1135,forage_dynamic_simdrop,5.370211562613077,1.7762195937003116,,117.39901382673416
1135,forage_random_baseline,0.0,0.0,,123.39194411276274
1161,forage_dynamic_simdrop,9.443327501992767,0.011547233131254296,,55.3698162181097
1161,forage_random_baseline,0.0,0.0,,61.695972056381365
1162,forage_dynamic_simdrop,5.670445223817651,2.259160817319827,,136.2408502613518
1162,forage_random_baseline,0.0,0.0,,146.52793363390575
1184,forage_dynamic_simdrop,12.218818989984092,2.025995553295927,,83.99381820558318
1184,forage_random_baseline,0.0,0.0,,123.39194411276274
1185,forage_dynamic_simdrop,-0.07143694679310775,3.2897218776334,,179.2721067492955
1185,forage_random_baseline,0.0,0.0,,192.79991267619178
1195,forage_dynamic_simdrop,8.248530740390754,0.7981089712928858,,77.46516711270925
1195,forage_random_baseline,0.0,0.0,,84.83196157752438
1199,forage_dynamic_simdrop,-0.14265763918875338,3.125036536672653,,84.38397693517814
1199,forage_random_baseline,0.0,0.0,,92.54395808457205
1201,forage_dynamic_simdrop,7.162142540792987,0.918432973394385,,58.37398627626567
1201,forage_random_baseline,0.0,0.0,,61.695972056381365
1202,forage_dynamic_simdrop,5.398249882626379,1.4212525104058313,,168.7317770984859
1202,forage_random_baseline,0.0,0.0,,177.37591966209644
1203,forage_dynamic_simdrop,-0.18497100415176035,1.8756325258531725,,58.75152623280716
1203,forage_random_baseline,0.0,0.0,,61.695972056381365
1204,forage_dynamic_simdrop,10.035813649613011,0.4736085299200279,,66.44619349690502
1204,forage_random_baseline,0.0,0.0,,77.11996507047671
1205,forage_dynamic_simdrop,-0.10181933125212667,1.7237610095439428,,127.39450774779658
1205,forage_random_baseline,0.0,0.0,,131.1039406198104
1206,forage_dynamic_simdrop,4.434926193088359,2.511670833207527,,80.30939642753823
1206,forage_random_baseline,0.0,0.0,,84.83196157752438
1207,forage_dynamic_simdrop,-0.11080741180715262,3.204938017201534,,122.60719936779672
1207,forage_random_baseline,0.0,0.0,,131.1039406198104
1208,forage_dynamic_simdrop,0.08182416312746636,2.099730555967639,,75.49568054507459
1208,forage_random_baseline,0.0,0.0,,77.11996507047671
1209,forage_dynamic_simdrop,7.09762654448729,2.459370629055242,,85.06019854524767
1209,forage_random_baseline,0.0,0.0,,92.54395808457205
1210,forage_dynamic_simdrop,-0.10349822757715567,2.4791345014300106,,134.3078316582121
1210,forage_random_baseline,0.0,0.0,,138.81593712685807
1211,forage_dynamic_simdrop,3.5512866931271385,2.5971605820506016,,146.64948608079231
1211,forage_random_baseline,0.0,0.0,,154.23993014095342
1264,forage_dynamic_simdrop,10.009142294634119,1.5930999503568164,,99.27187430958998
1264,forage_random_baseline,0.0,0.0,,115.67994760571507
1265,forage_dynamic_simdrop,1.247749166307539,2.1495043994879537,,104.54623613835427
1265,forage_random_baseline,0.0,0.0,,107.9679510986674
