Model,Negative Log Likelihood
Static,49600.963175742305
Dynamic Simdrop,49219.56682397605
Dynamic Delta,23289.231252412268
Pstatic,49397.785988242744
Pdynamic Simdrop,95804.24545712805
Pdynamic Multimodal,23380.80296956387
