Subject,Model,Beta_Frequency,Beta_Semantic,Beta_Phonological,Negative_Log_Likelihood_Optimized
8,forage_static,4.720550417733387,2.1799346767060372,,77.30130025816234
8,forage_random_baseline,0.0,0.0,,84.25088504432667
9,forage_static,8.333424229457787,2.9271944682227944,,122.55351177644332
9,forage_random_baseline,0.0,0.0,,145.52425598565515
10,forage_static,5.603773617100233,1.6527711358110941,,100.8162447822858
10,forage_random_baseline,0.0,0.0,,107.22839914732485
1101,forage_static,10.582982289069829,1.488588416926373,,51.0489367340963
1101,forage_random_baseline,0.0,0.0,,61.27337094132848
1102,forage_static,7.780114962878005,2.005791335702107,,108.54867206639972
1102,forage_random_baseline,0.0,0.0,,122.54674188265697
1103,forage_static,-0.1458743763808159,0.5262696924413643,,136.74574013440602
1103,forage_random_baseline,0.0,0.0,,137.86508461798908
1104,forage_static,-0.12324946267157925,0.4550575012200326,,167.6381362051909
1104,forage_random_baseline,0.0,0.0,,168.50177008865333
1105,forage_static,9.443004061751878,1.4129597364440654,,132.25894701088257
1105,forage_random_baseline,0.0,0.0,,153.1834273533212
1106,forage_static,10.624990067208318,1.1925127795806467,,56.427723121551544
1106,forage_random_baseline,0.0,0.0,,68.93254230899454
1107,forage_static,5.180837448098432,2.9871352775550437,,110.8442685244969
1107,forage_random_baseline,0.0,0.0,,122.54674188265697
1108,forage_static,8.566148267018827,0.11098222466363121,,69.16192245662744
1108,forage_random_baseline,0.0,0.0,,76.5917136766606
1109,forage_static,3.461296722240519,2.6287794217603686,,64.81976555721232
1109,forage_random_baseline,0.0,0.0,,68.93254230899454
1110,forage_static,6.137683729697488,0.07686301537048111,,43.6151502276422
1110,forage_random_baseline,0.0,0.0,,45.955028205996356
1111,forage_static,7.242657871065181,2.6880321785894585,,94.40642016911539
1111,forage_random_baseline,0.0,0.0,,107.22839914732485
1112,forage_static,10.219773117277322,0.2344879257091982,,46.242009294849176
1112,forage_random_baseline,0.0,0.0,,53.61419957366242
1113,forage_static,4.566278750351309,1.0614211258405755,,103.48747592577372
1113,forage_random_baseline,0.0,0.0,,107.22839914732485
1114,forage_static,-0.13642708709669996,3.4101041477154554,,73.87101589854385
1114,forage_random_baseline,0.0,0.0,,84.25088504432667
1123,forage_static,8.054771874993989,0.8562340919278119,,55.66991868119753
1123,forage_random_baseline,0.0,0.0,,61.27337094132848
1126,forage_static,10.729637510758293,-0.15800609375386532,,65.29986803856733
1126,forage_random_baseline,0.0,0.0,,76.5917136766606
1135,forage_static,-0.1016810355523605,1.3380574859219012,,165.307339739704
1135,forage_random_baseline,0.0,0.0,,168.50177008865333
1161,forage_static,9.705697216867206,1.2474397274464726,,131.5311715995806
1161,forage_random_baseline,0.0,0.0,,153.1834273533212
1162,forage_static,9.56788861948941,0.39513569966843715,,114.37419240570182
1162,forage_random_baseline,0.0,0.0,,130.20591325032302
1184,forage_static,7.447426331236514,0.9392056611414421,,125.6969162447988
1184,forage_random_baseline,0.0,0.0,,137.86508461798908
1185,forage_static,7.0153915805337235,2.178200550252486,,186.51003907118388
1185,forage_random_baseline,0.0,0.0,,206.79762692698364
1195,forage_static,-0.1727096631697541,2.2473218079289934,,84.0541579547128
1195,forage_random_baseline,0.0,0.0,,91.91005641199273
1199,forage_static,10.256190509714406,2.0695646928176674,,87.75682397384442
1199,forage_random_baseline,0.0,0.0,,107.22839914732485
1201,forage_static,12.616572431730473,1.9342628739877117,,56.566871133859145
1201,forage_random_baseline,0.0,0.0,,76.5917136766606
1202,forage_static,9.80842070774523,0.6817274812263737,,166.74006566226282
1202,forage_random_baseline,0.0,0.0,,191.47928419165152
1203,forage_static,10.4891797307671,1.5898758648983171,,74.89363563330839
1203,forage_random_baseline,0.0,0.0,,91.91005641199273
1204,forage_static,8.241552406296504,2.318797340750822,,87.1900864491852
1204,forage_random_baseline,0.0,0.0,,99.56922777965879
1205,forage_static,6.065753039492606,0.82681359674219,,159.2066669317858
1205,forage_random_baseline,0.0,0.0,,168.50177008865333
1206,forage_static,8.36194316798233,0.9870042472356091,,109.370676388986
1206,forage_random_baseline,0.0,0.0,,122.54674188265697
1207,forage_static,6.1312824034032225,0.48295138080609157,,108.93916014666434
1207,forage_random_baseline,0.0,0.0,,114.88757051499091
1208,forage_static,10.452713569956053,1.315117750926248,,63.46359999191323
1208,forage_random_baseline,0.0,0.0,,76.5917136766606
1209,forage_static,9.227435623366189,1.3215591513264546,,92.34237313667121
1209,forage_random_baseline,0.0,0.0,,107.22839914732485
1210,forage_static,11.447695452082252,1.3304139761201745,,97.87409759633627
1210,forage_random_baseline,0.0,0.0,,122.54674188265697
1211,forage_static,7.1549770468606635,0.7362261339565368,,162.85910705711615
1211,forage_random_baseline,0.0,0.0,,176.1609414563194
1264,forage_static,8.935243734032676,0.21604381649302837,,123.31699857438463
1264,forage_random_baseline,0.0,0.0,,137.86508461798908
1265,forage_static,9.190699948541145,-0.07085718731110523,,129.42311240106991
1265,forage_random_baseline,0.0,0.0,,145.52425598565515
1267,forage_static,8.272219956928716,1.4949350268289154,,130.3482836644808
1267,forage_random_baseline,0.0,0.0,,145.52425598565515
1268,forage_static,7.915185894564412,0.5001936769956673,,111.23803352211814
1268,forage_random_baseline,0.0,0.0,,122.54674188265697
1270,forage_static,9.108704350687946,1.6246698807175615,,53.15557171081132
1270,forage_random_baseline,0.0,0.0,,61.27337094132848
1272,forage_static,6.652270038576649,0.14305687344410561,,79.2721902001574
1272,forage_random_baseline,0.0,0.0,,84.25088504432667
1273,forage_static,9.012925621088304,0.8894377309255853,,108.18822663575659
1273,forage_random_baseline,0.0,0.0,,122.54674188265697
1278,forage_static,7.469714095003512,0.06623784678771312,,70.93339346685084
1278,forage_random_baseline,0.0,0.0,,76.5917136766606
1329,forage_static,5.729538943129592,0.8806351937153084,,109.0607890141368
1329,forage_random_baseline,0.0,0.0,,114.88757051499091
1331,forage_static,10.046804945387727,0.653726492485096,,92.63665288992264
1331,forage_random_baseline,0.0,0.0,,107.22839914732485
1341,forage_static,11.379950381121393,2.272388717293149,,67.59956449199616
1341,forage_random_baseline,0.0,0.0,,84.25088504432667
