Model,Negative Log Likelihood
Static,53359.24085195524
Dynamic Simdrop,53064.57056044758
Dynamic Delta,24362.154196569772
Pstatic,53028.996366476
Pdynamic Simdrop,101684.34866120489
Pdynamic Multimodal,24320.596250279137
