Participant,Group,,,,,,,,,,,,,,,,,,,,,,,,,
8,1,Apple,Aparagus,,,,,,,,,,,,,,,,,,,,,,,
11183,1,"Apple,","angry,","acceleration,","armature,","alliteration,","animal,",and,,,,,,,,,,,,,,,,,,
11189,1,Apple,alligator,actor,active,actual,area,aluminium,albatross,,,,,,,,,,,,,,,,,
11211,1,abbreviation,apple,almost,always,actual,acting,ace,aim,arrow,annoying,able,at,activation,amateur,ample,astute,alliance,arrange,asbestos,asail,assistance,avow,,,
11214,1,"Acknowledge,","anorexia,","act,","ask,","errand,","art,","angle,","angel,","Alzheimer’s,","argue,","angry,","axe,","axis,","axel,","articulate,","article,",ankle,,,,,,,,
11216,1,apple,aardvark,armadillo,aviator,animal,about,and,are,ask,abbreviate,art,,,,,,,,,,,,,,
11217,1,apple,as,ass,astronomy,anonymous,autocracy,autonomy,arrangement,atonement,at,all,anger,arrangement,,,,,,,,,,,,
11221,1,"Alphabet,","alien,","army,","able,","about,","absent,","actual,","addition,","afflict,","AWOL,","air,","accident,","attack,","animal,","ailment,",are,,,,,,,,,
11226,1,apple,apricot,ape,age,ache,ate,Adam,atypical,adapt,awake,attain,amuse,ameliorate,accurate,atone,atoll,,,,,,,,,
11249,1,apple,angel,anthem,alligator,anaesthetic,ape,ailment,ant,art,,,,,,,,,,,,,,,,
11259,1,"Apple,","almost,","advocate,","arrest,","assault,","arouse,","agriculture,","around,","Arizona,","apteryx,","ascertain,","adjective,","adjust,",adjourn,,,,,,,,,,,
11278,1,"Apple,","above,","angel,","arc,","anonymous,","ant,","any,","after,","anal,","apex,","astute,","Asperger’s,","asymmetrical,","abacus,","acronym,","antonym,","all,","an,",and,,,,,,
BJ,,,,,,,,,,,,,,,,,,,,,,,,,,
11302,1,apple,arch,academics,ant,ancestor,aunt,arrange,appall,above,answer,authority,ask,ankle,achilles,ark,,,,,,,,,,
11304,1,amazing,awesome,awe,alien,astronaut,awake,all,awkward,ape,angle,angel,ailment,apple,asparagus,aspire,,,,,,,,,,
11306,1,apple,agitate,ass,allegiance,agent,animal,aloe,alloy,axe,axil,assess,arrow,aerodynamic,alleviate,aviate,allure,as,,,,,,,,
11309,1,apple,asparagus,alphabet,adjacent,advertise,armour,abbreviation,all,,,,,,,,,,,,,,,,,
11313,1,,,,,,,,,,,,,,,,,,,,,,,,,
11361,1,,,,,,,,,,,,,,,,,,,,,,,,,
11365,1,apple,a,ass,artichoke,ant,alien,also,albas,acorn,astounding,alright,asthma,abacus,almost,aging,awful,awesome,astronaut,,,,,,,
11390,1,apple,atlas,asparagus,astronaut,asteroid,apricot,applause,aerial,areola,ask,ape,age,appropriate,,,,,,,,,,,,
11400,1,apple,assignment,anecdote,answer,anthropology,antonym,atypical,alphabet,antenna,anti-matter,,,,,,,,,,,,,,,
11404,1,apple,abacus,applied,ancient,archaic,and,ash,art,attention,attend,ape,age,above,air,ace,adore,,,,,,,,,
11411,1,ass,ascend,a,aggressive,agitate,at,and,an,asbestos,aorta,artery,ailment,alive,agony,anger,,,,,,,,,,
