Model,Negative Log Likelihood
Static,62576.407077112264
Dynamic Simdrop,62102.80002272709
Dynamic Delta,29686.933511352217
Pstatic,61945.71805834772
Pdynamic Simdrop,120794.5249138526
Pdynamic Multimodal,29432.788815968546
